Date,Open,High,Low,Close,Adj Close,Volume
2019-12-27,182000,185000,179000,183500,183500,323473
2019-12-30,183500,190000,183500,186500,186500,376541
2020-01-02,187500,188000,182000,182500,182500,300640
2020-01-03,185000,186000,180500,181500,181500,454492
2020-01-06,180000,182000,178000,180500,180500,287970
2020-01-07,182500,187000,181500,187000,187000,328624
2020-01-08,182000,183500,179000,183000,183000,820867
2020-01-09,183500,186500,183500,186000,186000,531355
2020-01-10,185000,188000,184000,188000,188000,398739
2020-01-13,187500,188500,186000,188000,188000,337749
2020-01-14,188000,194500,188000,190500,190500,501286
2020-01-15,189500,192000,188500,191500,191500,323778
2020-01-16,190000,192500,189000,191500,191500,245107
2020-01-17,190500,192500,189500,191000,191000,286019
2020-01-20,190000,190500,187000,187500,187500,454733
2020-01-21,187500,189500,181000,182000,182000,547678
2020-01-22,185000,190000,184500,186000,186000,429852
2020-01-23,185000,185500,181500,183000,183000,375929
2020-01-28,182000,184500,178000,178500,178500,476253
2020-01-29,183000,183500,180000,180000,180000,434897
2020-01-30,179500,183000,175000,180000,180000,772160
2020-01-31,180000,180500,177500,179500,179500,537062
2020-02-03,178000,180500,176000,177500,177500,485913
2020-02-04,177500,181500,175000,180500,180500,563463
2020-02-05,181000,183500,178500,181500,181500,653809
2020-02-06,182500,183500,180500,181500,181500,659850
2020-02-07,181500,188500,181000,185000,185000,728633
2020-02-10,182500,184000,180500,183500,183500,433051
2020-02-11,183500,185000,183000,184500,184500,400386
2020-02-12,183000,185000,181500,185000,185000,351892
2020-02-13,184000,185000,183000,184500,184500,555923
2020-02-14,184000,187500,184000,186500,186500,659429
2020-02-17,184500,189000,184500,188500,188500,312407
2020-02-18,186500,188500,185500,186500,186500,345642
2020-02-19,188000,191000,185000,189500,189500,560743
2020-02-20,189500,191500,187500,190000,190000,427402
2020-02-21,187500,191000,187000,189500,189500,434019
2020-02-24,185500,187500,183500,184000,184000,567036
2020-02-25,184000,191000,183500,190500,190500,704859
2020-02-26,189500,190000,186500,187000,187000,494066
2020-02-27,185000,187000,179000,182000,182000,535696
2020-02-28,179000,180000,172000,174000,174000,830654
2020-03-02,175000,177000,172500,175000,175000,659376
2020-03-03,179000,180000,174000,175000,175000,544379
2020-03-04,174500,179500,173000,178500,178500,450252
2020-03-05,180500,181000,178500,181000,181000,483840
2020-03-06,179500,181000,177500,179500,179500,293897
2020-03-09,179500,179500,179500,179500,179500,0
2020-03-10,168000,176000,165000,172000,172000,666532
2020-03-11,172000,174000,167500,170000,170000,483822
2020-03-12,170000,170000,170000,170000,170000,0
2020-03-13,151000,168000,149500,166000,166000,1242510
2020-03-16,166000,166500,155000,155000,155000,812823
2020-03-17,147500,155500,147000,151000,151000,979243
2020-03-18,152500,156000,146000,146000,146000,666723
2020-03-19,150000,151500,135000,144000,144000,1154230
2020-03-20,147500,156500,146000,154000,154000,997895
2020-03-23,141500,149500,140000,143000,143000,1033851
2020-03-24,151500,157000,148000,156000,156000,960786
2020-03-25,160500,163000,152000,156000,156000,1039579
2020-03-26,156000,158000,149500,152500,152500,988725
2020-03-27,161500,164500,158500,164000,164000,1217815
2020-03-30,160000,165000,159000,162500,162500,630830
2020-03-31,163500,171000,163500,170000,170000,858165
2020-04-01,166500,171000,163000,163000,163000,720283
2020-04-02,166500,175000,164500,173500,173500,1086863
2020-04-03,170000,172500,168000,172000,172000,663454
2020-04-06,173500,176000,170500,173000,173000,655547
2020-04-07,174000,174500,167500,169500,169500,873091
2020-04-08,169000,169500,166500,166500,166500,588577
2020-04-09,168500,169000,165000,167500,167500,682921
2020-04-10,166000,167000,164000,166500,166500,483720
2020-04-13,164500,168000,162500,166000,166000,413768
2020-04-14,168000,170000,166500,168500,168500,520725
2020-04-16,168000,172500,167500,170500,170500,841066
2020-04-17,175500,180000,173500,179000,179000,900031
2020-04-20,181000,182000,179000,180000,180000,663723
2020-04-21,180500,181500,173500,178500,178500,759150
2020-04-22,175000,182500,173000,182000,182000,611589
2020-04-23,190000,196000,186500,190000,190000,1521478
2020-04-24,189000,197500,189000,192500,192500,928695
2020-04-27,193000,200000,192500,197500,197500,927347
2020-04-28,197500,198000,194500,198000,198000,433549
2020-04-29,199500,200000,196500,197500,197500,676743
2020-05-04,198500,203000,193500,199000,199000,1104027
2020-05-06,201500,212500,200500,212000,212000,992225
2020-05-07,211500,220000,210500,215500,215500,984024
2020-05-08,216000,218500,212000,214000,214000,732394
2020-05-11,214500,221000,214000,214500,214500,599328
2020-05-12,218000,226500,215000,219500,219500,1056584
2020-05-13,217500,222500,213500,218500,218500,1014692
2020-05-14,214500,222000,214500,219000,219000,866427
2020-05-15,219000,219500,209500,213000,213000,1050469
2020-05-18,215000,218000,211500,215000,215000,638906
2020-05-19,215000,216500,210500,213500,213500,917603
2020-05-20,215500,225500,215000,222000,222000,977544
2020-05-21,227500,233500,222500,225000,225000,1004395
2020-05-22,227000,232500,222500,230500,230500,1108281
2020-05-25,234500,241000,234000,241000,241000,1015069
2020-05-26,244000,246000,230000,239000,239000,1568016
2020-05-27,231000,234500,226500,228500,228500,1351505
2020-05-28,226000,241000,222000,240500,240500,1625154
2020-05-29,240000,243000,226000,226000,226000,3114298
2020-06-01,233500,237000,230000,237000,237000,1140644
2020-06-02,235000,236000,232000,234000,234000,689584
2020-06-03,235000,235500,225000,225500,225500,1476614
2020-06-04,228000,235000,227000,232500,232500,1052789
2020-06-05,229000,231000,225000,231000,231000,1061922
2020-06-08,234500,242000,231000,240500,240500,1624752
2020-06-09,240000,243000,235500,237500,237500,934440
2020-06-10,241000,247500,240000,244000,244000,1431071
2020-06-11,244000,249000,239000,240500,240500,1423978
2020-06-12,229000,242500,228500,242000,242000,1318334
2020-06-15,240000,244500,230500,231500,231500,1311773
2020-06-16,239000,243500,236000,243500,243500,1155474
2020-06-17,244000,252000,243500,251000,251000,1357900
2020-06-18,251500,254000,247000,247500,247500,744330
2020-06-19,250000,250000,244000,249500,249500,919945
2020-06-22,249500,271500,247500,270000,270000,1841479
2020-06-23,272000,289000,270500,276000,276000,2104075
2020-06-24,273500,279500,270500,279000,279000,995065
2020-06-25,273500,276500,269500,269500,269500,1196267
2020-06-26,274500,275000,263000,269000,269000,937593
2020-06-29,265000,270500,261000,264000,264000,814814
2020-06-30,268000,270500,263000,267000,267000,862860
2020-07-01,270000,275000,266000,269000,269000,655711
2020-07-02,274000,277000,271000,277000,277000,1015829
2020-07-03,276500,280500,274500,277500,277500,971940
2020-07-06,278000,287500,278000,281500,281500,1211636
2020-07-07,285000,289500,279000,279500,279500,1365047
2020-07-08,280000,284500,274000,282500,282500,1353345
2020-07-09,286500,296500,284500,287500,287500,2006662
2020-07-10,291500,308500,290000,299000,299000,2120904
2020-07-13,303500,303500,288000,297000,297000,1254800
